,,,31 Dec 24,,
-------------------------------------------------------------------------,------------------,------------------------------------------------------------,----------------------------------------------------------------------,--------------------------------------------,-----------------------------------------------------------------------------------
,,Current hedges,Expired hedges,,Remeasurement of fair
In thousands of euros,Carrying amounts,Of which accrued<br>remeasurements of<br>fair value hedges,Of which accrued<br>remeasurements of fair<br>value hedges remaining,Accrued<br>remeasurements of<br>fair value,value during the hedging<br>period (incl. hedges that<br>expired over the period)
Interest rate derivatives,"20,218,549","(1,225,157)",-,"(14,229)","430,304"
Loans and receivables due from credit institutions at amortised<br>cost,"1,102,494","(66,483)",-,(158),"27,617"
Loans and receivables due from customers at amortised cost,"17,046,183","(1,149,540)",-,(500),"380,846"
Financial assets at fair value through other comprehensive income,"2,069,872","(9,134)",-,"(13,572)","21,840"
Interest rate derivatives (currency swaps),"5,560,266","84,153",-,"7,888","219,610"
Loans and receivables due from credit institutions at amortised<br>cost,"690,853","21,178",-,"(3,084)","39,403"
Loans and receivables due from customers at amortised cost,"4,869,413","62,975",-,"10,971","179,381"
Financial assets at fair value through other comprehensive income,-,826,-,-,826
Total fair value hedging of assets,"25,778,815","(1,141,004)",-,"(6,342)","649,914"
Interest rate derivatives,"(35,549,375)","1,915,460",(198),"(2,669)","(839,551)"
Debt securities in issue at amortised cost,"(35,549,375)","1,915,460",(198),"(2,669)","(839,551)"
Interest rate derivatives (currency swaps),"(14,526,099)","(723,311)",-,"58,608","(948,333)"
Debt securities in issue at amortised cost,"(14,526,099)","(723,311)",-,"58,608","(948,333)"
Total fair value hedging of liabilities,"(50,075,474)","1,192,149",(198),"55,939","(1,787,884)"
