For the year ended December 31:,2025,2024,Yrto-Yr.<br>Percent<br>Change
-----------------------------------------------,-------------,-------------,-------------------------------
Retirement-related plans–cost,,,
Service cost,\$<br>530,\$<br>568,(6.7) %
Multi-employer plans,13,13,2.1
Cost of defined contribution plans,461,440,4.7
Total operating costs/(income),"\$<br>1,004","\$<br>1,021",(1.7) %
Interest cost,"\$<br>1,974","\$<br>2,135",(7.6) %
Expected return on plan assets,"(2,540)","(2,800)",(9.3)
Recognized actuarial losses,624,967,(35.4)
Amortization of prior service costs/(credits),(7),(7),(2.8)
Curtailments/settlements (1),9,"3,159",NM
Other costs,5,3,42.1
Total non-operating costs/(income) (1),\$<br>65,"\$<br>3,457",NM
Total retirement-related plans–cost (1),"\$<br>1,068","\$<br>4,478",(76.1) %
