_In thousands of euros_,**30 Jun 25**,**30 Jun 24**
**From financial assets measured at amortised cost**,"**882,108**","**973,332**"
Cash and demand accounts with central banks,"48,407","69,948"
Loans and receivables,"831,181","900,444"
Transactions with credit institutions,"_220,572_","_251,941_"
Transactions with customers,"_610,609_","_648,503_"
Debt securities,"2,520","2,939"
**From financial assets at fair value through equity**,"**96,870**","**95,951**"
Debt securities,"96,870","95,951"
**From financial assets at fair value through profit or loss**,"**26,991**","**37,497**"
Loans and receivables,"26,991","37,497"
_Transactions with credit institutions_,"_15,445_","_22,268_"
_Transactions with customers_,"_11,546_","_15,229_"
**Interest accrued and due on hedging instruments**,"**1,251,103**","**1,412,191**"
_of which transactions with credit institutions_,"_601,119_","_797,120_"
_of which other interest and related income_,"_649,984_","_615,070_"
**Total interest income**,"**2,257,073**","**2,518,970**"
**From financial liabilities measured at amortised cost**,"**(609,864)**","**(548,815)**"
Financial liabilities measured at amortised cost,"(609,864)","(548,815)"
**Interest accrued and due on hedging instruments**,"**(1,418,879)**","**(1,702,538)**"
**Other interest and similar expenses**,**(128)**,"**(5,636)**"
**Total interest expenses**,"**(2,028,870)**","**(2,256,990)**"
